YEAR,SONG,ARTIST,URI,SONG_IMG,TRACK_DURATION
1946,Prisoner Of Love,Perry Como,spotify:track:14lgH3pas87OwAfFrouSSe,https://i.scdn.co/image/ab67616d0000b2738996ed54d0409f7393ed9c3a,209360
1947,Near You,Francis Craig,spotify:track:0sVJQeYwYTQSjuH81HOpOF,https://i.scdn.co/image/ab67616d0000b273f58374d4e62b5483fe75ea00,172747
1948,Twelfth Street Rag,Pee Wee Hunt,spotify:track:1HhWWWWK5RgKrHoBuSH5l3,https://i.scdn.co/image/ab67616d0000b273fc51b186c3b150bcfb79b369,172895
1949,Riders In The Sky,Vaughn Monroe,spotify:track:3SKhUMa6p9lhX7rK7pY0uy,https://i.scdn.co/image/ab67616d0000b2730514f2599defe87a0f4ab975,176773
1950,Goodnight Irene,Gordon Jenkins e The Weavers,spotify:track:3GtfeLBXe15nyEMN664ygs,https://i.scdn.co/image/ab67616d0000b273689fcefe75e02bfd26a96a7c,219746
1951,Too Young,Nat King Cole,spotify:track:0zII0Soax7wbm3Avw7iVAd,https://i.scdn.co/image/ab67616d0000b273deac5adf07affb5fec422701,204626
1952,Blue Tango,Leroy Anderson,spotify:track:6ecG5Am0TRxn0uwZBQHA3L,https://i.scdn.co/image/ab67616d0000b27321792a065127168e1eb55812,169426
1953,The Song from Moulin Rouge,Percy Faith,spotify:track:64rlhuDWbST0NQ6b1io4yf,https://i.scdn.co/image/ab67616d0000b273ec41a2cbcd59ab5096a794e0,230795
1954,Little Things Mean a Lot,Kitty Kallen,spotify:track:54PXRAkSDbvSNazvmAfeHd,https://i.scdn.co/image/ab67616d0000b2730d2389e882662bc575fb50f2,179146
1955,Cherry Pink and Apple Blossom White,Pérez Prado,spotify:track:5HisVcYPaIB4uHdrnW6HCt,https://i.scdn.co/image/ab67616d0000b2730cb71a67899d301bd358f256,189640
1956,Heartbreak Hotel,Elvis Presley,spotify:track:6xNwKNYZcvgV3XTIwsgNio,https://i.scdn.co/image/ab67616d0000b27320ee3e86e17f17239bef1f76,127560
1957,All Shook Up,Elvis Presley,spotify:track:5ueyLj6e6oVaTY0KQ6yLaA,https://i.scdn.co/image/ab67616d0000b27320ee3e86e17f17239bef1f76,117080
1958,Nel Blu Dipinto di Blu,Domenico Modugno,spotify:track:5zyrEv4F3FaLECI8TOKpFM,https://i.scdn.co/image/ab67616d0000b2732449e2d6a5145107370a5357,219120
1959,The Battle of New Orleans,Johnny Horton,spotify:track:0dwpdcQkeZqpuoAPYD49N3,https://i.scdn.co/image/ab67616d0000b273dcb1773e1f8d182ea736e54c,151626
1960,"Theme from ""A Summer Place""",Percy Faith,spotify:track:6zwvB879PJSpTyFcg2wwnL,https://i.scdn.co/image/ab67616d0000b273ae5534556d63b3935e7532e0,142693
1961,Tossin' and Turnin',Bobby Lewis,spotify:track:6oSasmjpq6dCSgAQbUS9xA,https://i.scdn.co/image/ab67616d0000b273365862994e45cba29f27e328,241893
1962,Stranger on the Shore,Mr. Acker Bilk,spotify:track:061pN2sHhLNI3vAPIHVn2R,https://i.scdn.co/image/ab67616d0000b2737f5c61a910fdc959c2702107,176333
1963,Sugar Shack,Jimmy Gilmer e The Fireballs,spotify:track:18CglpvgJf2PbHcFijT6gf,https://i.scdn.co/image/ab67616d0000b273135ba7637d3fe22e01d9cebb,123693
1964,I Want to Hold Your Hand,The Beatles,spotify:track:4pbG9SUmWIvsROVLF0zF9s,https://i.scdn.co/image/ab67616d0000b273582d56ce20fe0146ffa0e5cf,145746
1965,Wooly Bully,Sam The Sham e The Pharaohs,spotify:track:4GNmvOYZW11lGzcZm0FKGY,https://i.scdn.co/image/ab67616d0000b273009bb3b8a5b27dd004eb9031,141613
1966,The Ballad Of The Green Berets,Sgt. Barry Sadler,spotify:track:0yjNmllr3Ew6f97TqPuEqa,https://i.scdn.co/image/ab67616d0000b273306ddc325758b12928514b61,146400
1967,To Sir With Love ,Lulu,spotify:track:1C1dPegkqX6HMoWcAY5LWA,https://i.scdn.co/image/ab67616d0000b273b7bf82ba0f3a34ffdc972ad2,165800
1968,Hey Jude,Beatles,spotify:track:0aym2LBJBk9DAYuHHutrIl,https://i.scdn.co/image/ab67616d0000b273582d56ce20fe0146ffa0e5cf,425653
1969,"Sugar, Sugar",The Archies,spotify:track:3iSws76HjaU7k49EqJVTfF,https://i.scdn.co/image/ab67616d0000b27355ef4cc7e56a02c68c3abc0f,167186
1970,Bridge Over Troubled Water,Simon and Garfunkel,spotify:track:6l8EbYRtQMgKOyc1gcDHF9,https://i.scdn.co/image/ab67616d0000b273ba7fe7dd76cd4307e57dd75f,293120
1971,Joy To The World,Three Dog Night,spotify:track:2ymeOsYijJz09LfKw3yM2x,https://i.scdn.co/image/ab67616d0000b2738036855102edddcdbe84127d,220573
